YearStart,LocationAbbr,ObesityRate,PhysicalActivityRate
2011,WV,34.43958333333333,27.927500000000002
2011,WY,30.55,32.505
2012,AK,31.68888888888889,20.6
2012,AL,33.56153846153846,26.934615384615384
2012,AR,34.63,31.688000000000002
2012,AZ,30.953703703703702,23.4037037037037
2012,CA,29.961111111111112,19.585185185185182
2012,CO,27.864814814814817,19.52592592592593
2012,CT,31.323076923076922,24.33076923076923
2012,DC,26.122,18.928
2012,DE,32.666,24.108
2012,FL,30.84423076923077,24.41923076923077
2012,GA,31.888461538461538,24.076923076923077
2012,HI,28.675925925925927,19.38148148148148
2012,IA,31.77,25.195999999999998
2012,ID,31.354166666666668,21.25
2012,IL,31.19,22.188000000000002
2012,IN,32.488,26.56
2012,KS,32.93076923076923,24.638461538461538
2012,KY,33.498000000000005,30.22307692307692
2012,LA,34.08461538461539,29.78846153846154
2012,MA,29.562962962962963,22.51111111111111
2012,MD,31.70740740740741,24.685185185185187
2012,ME,31.870833333333334,22.141666666666666
2012,MI,32.28846153846154,24.22222222222222
2012,MN,31.253703703703703,19.325925925925926
2012,MO,32.94375,25.47083333333333
2012,MS,34.0,30.854166666666668
2012,MT,31.10625,21.020833333333332
2012,NC,32.681481481481484,25.685185185185187
2012,ND,33.17391304347826,24.85217391304348
2012,NE,32.47222222222222,22.385185185185183
2012,NH,29.87708333333333,21.215999999999998
2012,NJ,30.475925925925928,26.93333333333333
2012,NM,31.17962962962963,21.692592592592593
2012,NV,31.4037037037037,22.081481481481482
2012,NY,30.494,25.84
2012,OH,31.80185185185185,26.04074074074074
2012,OK,33.330769230769235,28.234615384615385
2012,OR,30.277083333333334,17.429166666666667
2012,PA,32.25961538461539,24.71153846153846
2012,RI,31.102083333333336,25.041666666666668
2012,SC,32.91111111111111,25.05925925925926
2012,SD,33.045833333333334,22.741666666666664
2012,TN,32.74583333333333,28.641666666666666
2012,TX,31.932,27.15
2012,US,31.43392857142857,24.02857142857143
2012,UT,28.10925925925926,19.27777777777778
2012,VA,31.562962962962963,24.11851851851852
2012,VT,29.89782608695652,18.082608695652173
2012,WA,31.476785714285715,20.582142857142856
2012,WI,32.99583333333333,22.270833333333332
2012,WV,33.829166666666666,29.895833333333332
2012,WY,31.618750000000002,22.6125
2013,AK,32.55,34.793846153846154
2013,AL,34.03125,29.15169491525424
2013,AR,34.788000000000004,27.4336
2013,AZ,31.27692307692308,32.2096
2013,CA,30.496153846153845,34.47230769230769
2013,CO,28.07884615384615,35.286153846153844
2013,CT,31.134615384615383,30.77076923076923
2013,DC,27.268,33.892
2013,DE,31.52692307692308,32.465384615384615
2013,FL,31.373214285714287,31.675555555555555
2013,GA,32.47222222222222,32.382222222222225
2013,HI,28.213461538461537,36.93538461538462
2013,IA,33.74782608695652,28.864347826086956
2013,ID,32.608333333333334,32.05833333333333
2013,IL,31.858,32.256
2013,IN,33.12692307692308,28.76846153846154
2013,KS,32.61666666666667,30.061481481481483
2013,KY,33.356,29.664
2013,LA,33.410869565217396,29.393913043478264
2013,MA,29.18148148148148,33.354615384615386
2013,MD,31.575925925925926,30.7562962962963
2013,ME,32.22083333333333,32.73
2013,MI,32.503846153846155,31.763076923076923
2013,MN,30.196296296296296,31.704444444444448
2013,MO,32.5625,29.9975
2013,MS,34.721739130434784,27.768695652173914
2013,MT,30.7625,34.607499999999995
2013,NC,32.85576923076923,30.184615384615384
2013,ND,33.5,28.345217391304345
2013,NE,32.09615384615385,30.859230769230766
2013,NH,30.556250000000002,33.4775
2013,NJ,31.085185185185182,31.93777777777778
2013,NM,30.82037037037037,34.486363636363635
2013,NV,32.17884615384615,33.1848
2013,NY,30.569230769230767,30.24206349206349
2013,OH,32.05555555555556,31.254074074074076
2013,OK,33.75192307692308,28.966153846153844
2013,OR,29.27916666666667,36.355000000000004
2013,PA,31.631999999999998,29.912
2013,RI,32.38653846153846,30.056
2013,SC,32.426923076923075,30.242519685039372
2013,SD,33.356249999999996,32.4425
2013,TN,34.36818181818182,25.430000000000003
2013,TX,32.34423076923077,28.586923076923078
2013,US,31.68392857142857,31.562857142857144
2013,UT,29.715384615384615,32.681599999999996
2013,VA,31.581481481481482,32.276296296296294
2013,VT,31.46666666666667,33.55689655172414
2013,WA,30.685185185185187,32.54148148148148
2013,WI,33.23,32.0232
2013,WV,34.354166666666664,28.659166666666668
